antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'rolls/buns', 'soda'})",frozenset({'whole milk'}),0.008086613646995923,0.15792287642852368,0.0010024727661565194,0.12396694214876033,0.7849840691374952,1.0,-0.000274588521543231,0.9612389806806476,-0.21638954200515292,0.006075334143377887,-0.04032401941492848,0.065157402517461
"frozenset({'other vegetables', 'soda'})",frozenset({'rolls/buns'}),0.009690570072846355,0.11000467820624206,0.0011361358016440553,0.11724137931034483,1.0657853940587423,1.0,7.012775914555232e-05,1.0081978254694914,0.062328805189237176,0.009582863585118376,0.008131167576833348,0.06378472367704362
"frozenset({'rolls/buns', 'soda'})",frozenset({'other vegetables'}),0.008086613646995923,0.12210118291786407,0.0011361358016440553,0.14049586776859505,1.150651160055549,1.0,0.00014875070954611025,1.0214015083359465,0.13199426111908175,0.008803728638011394,0.020953080802488405,0.07490036957121597
"frozenset({'other vegetables', 'rolls/buns'})",frozenset({'soda'}),0.010559379803515338,0.09710619528169484,0.0011361358016440553,0.10759493670886075,1.108013102529032,1.0,0.00011075460439031039,1.0117533414573916,0.09852394858652681,0.010664993726474278,0.011616805179473243,0.05964743394286809
frozenset({'pickled vegetables'}),frozenset({'whole milk'}),0.008955423377664907,0.15792287642852368,0.0010024727661565194,0.11194029850746269,0.7088288982510217,1.0,-0.0004117934532795679,0.9482212988115784,-0.2930312237788909,0.006043513295729251,-0.05460613598673298,0.05914408069681217
frozenset({'canned beer'}),frozenset({'whole milk'}),0.04691572545612511,0.15792287642852368,0.006014836596939116,0.1282051282051282,0.8118211313302299,1.0,-0.0013942297168230717,0.9659119946849287,-0.19562985775040317,0.030252100840336135,-0.03529100529100529,0.08314615276104907
frozenset({'hygiene articles'}),frozenset({'other vegetables'}),0.013700461137472432,0.12210118291786407,0.001403461872619127,0.1024390243902439,0.8389683207176899,1.0,-0.0002693806387864823,0.9780937907708579,-0.16290414066931372,0.010442565887618101,-0.022396839071923004,0.05696663863190356
frozenset({'hygiene articles'}),frozenset({'whole milk'}),0.013700461137472432,0.15792287642852368,0.0017376194613379669,0.12682926829268293,0.8031089045549787,1.0,-0.000425996769888883,0.9643900018556014,-0.1990815826001649,0.010228166797797011,-0.03692489353464961,0.06891611531434824
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.11000467820624206,0.15792287642852368,0.013967787208447505,0.12697448359659783,0.8040284376030019,1.0,-0.0034044679944763706,0.9645504143344816,-0.2149864447279974,0.055,-0.03675244459873861,0.10771068657189181
"frozenset({'other vegetables', 'rolls/buns'})",frozenset({'whole milk'}),0.010559379803515338,0.15792287642852368,0.0012029673193878234,0.11392405063291139,0.7213904230301538,1.0,-0.00046460031248457805,0.9503441823163804,-0.28074815794445485,0.007191370355573313,-0.05225035161744021,0.06077074304815269
frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.043707812604424245,0.15792287642852368,0.004611374724319989,0.1055045871559633,0.6680766557827672,1.0,-0.002291088764569571,0.9413990407106761,-0.34190708909560646,0.023405698778833108,-0.0622487986020096,0.06735237821615346
frozenset({'frankfurter'}),frozenset({'whole milk'}),0.037759807525228894,0.15792287642852368,0.005279689901757669,0.13982300884955753,0.8853879311959075,1.0,-0.0006834475160138924,0.9789579728763048,-0.11857632162174715,0.027729027729027734,-0.021494310998735746,0.0866275433583378
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.037759807525228894,0.12210118291786407,0.005146026866270133,0.13628318584070798,1.1161495948191098,1.0,0.0005355097006888195,1.0164197369905876,0.1081463334554042,0.03326133909287257,0.016154484602201084,0.08921438985521989
frozenset({'beef'}),frozenset({'whole milk'}),0.03395041101383412,0.15792287642852368,0.004678206242063757,0.1377952755905512,0.8725479088706803,1.0,-0.0006833403211715583,0.9766556593020775,-0.13134290943680002,0.024991074616208496,-0.0239023247094113,0.08370931786298613
frozenset({'white bread'}),frozenset({'whole milk'}),0.023992514870012697,0.15792287642852368,0.003141081333957094,0.1309192200557103,0.829007316840285,1.0,-0.000647885627069438,0.9689284851351283,-0.17446274192850025,0.017570093457943928,-0.032067913516381476,0.07540459521617508
